0.043,0.043,0.043,0.042,0.043,0.041,0.039,0.042,0.047,0.043,0.042,0.042
0.036,0.614,0.667,0.672,0.709,0.702,0.889,0.826,0.859,0.922,0.884,0.043
0.043,0.33,0.395,0.442,0.376,0.386,0.805,0.789,0.862,0.853,0.852,0.043
0.042,0.442,0.408,0.461,0.486,0.48,0.651,0.613,0.721,0.649,0.688,0.043
0.044,0.135,0.14,0.16,0.162,0.183,0.604,0.552,0.642,0.659,0.661,0.043
0.04,0.046,0.044,0.048,0.042,0.071,0.077,0.081,0.071,0.077,0.078,0.048
0.041,0.04,0.037,0.037,0.039,0.038,0.038,0.042,0.039,0.038,0.037,0.043
0.041,0.041,0.043,0.041,0.042,0.049,0.042,0.047,0.041,0.044,0.041,0.043
